token,cluster,frequency
thing,0,17304
rough,0,11049
unity,0,9808
ratio,0,8657
story,0,6005
quest,0,5933
accord,0,5642
ether,0,5396
friend,0,5367
organ,0,5323
belie,0,5095
start,0,4957
around,0,4793
posit,0,4655
table,0,4632
dress,0,4404
never,0,4365
light,0,4304
plain,0,4300
world,0,4166
harass,0,4115
elect,0,4088
child,0,4000
politic,0,3867
train,0,3825
profess,0,3756
crease,0,3685
cross,0,3666
great,0,3481
cover,0,3462
depart,0,3165
sever,0,3138
ready,0,3072
season,0,3046
always,0,3014
little,0,2895
thought,0,2732
selves,0,2731
persona,0,2719
stead,0,2630
drink,0,2629
character,0,2533
perform,0,2531
young,0,2467
complain,0,2457
family,0,2442
tempt,0,2439
fresh,0,2417
music,0,2408
anger,0,2402
break,0,2361
white,0,2357
spite,0,2283
black,0,2273
together,0,2257
watch,0,2241
accuse,0,2178
matte,0,2173
ounce,0,2171
movie,0,2130
history,0,2113
courage,0,2083
ample,0,2077
front,0,2076
viola,0,2012
potent,0,2007
success,0,1996
leave,0,1981
tract,0,1980
ledge,0,1972
ground,0,1950
product,0,1945
anything,0,1918
write,0,1915
candid,0,1899
comfort,0,1867
sport,0,1832
spend,0,1826
medic,0,1813
entire,0,1809
known,0,1791
graph,0,1777
moment,0,1776
polis,0,1755
small,0,1739
cement,0,1725
behind,0,1723
manage,0,1675
actor,0,1669
dance,0,1668
wrong,0,1667
minute,0,1664
nothing,0,1663
almost,0,1646
short,0,1641
scene,0,1632
audience,0,1627
avail,0,1611
whole,0,1596
scribe,0,1586
mount,0,1577
video,0,1572
heart,0,1523
mother,0,1511
origin,0,1511
column,0,1508
aching,0,1491
design,0,1486
piece,0,1484
psych,0,1476
drive,0,1469
emotion,0,1449
today,0,1442
describe,0,1427
apart,0,1407
everything,0,1402
opera,0,1397
verse,0,1397
tribute,0,1389
detail,0,1383
petit,0,1376
quart,0,1353
alone,0,1347
series,0,1342
performance,0,1298
super,0,1266
quick,0,1262
sound,0,1259
confide,0,1252
listen,0,1251
surround,0,1248
chance,0,1246
single,0,1243
title,0,1231
track,0,1215
worth,0,1207
touch,0,1206
career,0,1204
journal,0,1190
usual,0,1178
paper,0,1170
psycho,0,1140
profession,0,1138
lying,0,1137
album,0,1105
photo,0,1095
despite,0,1092
emerge,0,1092
perfect,0,1084
pretty,0,1079
feature,0,1074
figure,0,1060
stage,0,1056
street,0,1055
confer,0,1050
prose,0,1045
check,0,1036
demon,0,1026
offend,0,1025
tradition,0,1016
whose,0,1014
image,0,1003
water,0,1002
lance,0,1000
script,0,999
father,0,996
couple,0,991
fortunate,0,990
wonder,0,975
finite,0,974
exact,0,973
crowd,0,956
eaten,0,950
popular,0,938
object,0,938
successful,0,928
screen,0,919
commendation,0,916
style,0,915
finish,0,905
company,0,900
written,0,894
normal,0,888
definite,0,887
shirt,0,884
adult,0,878
passion,0,876
episode,0,873
laugh,0,870
industry,0,867
greed,0,852
store,0,851
native,0,847
shock,0,835
citizen,0,831
quite,0,830
broth,0,828
throw,0,824
maybe,0,823
stain,0,822
picture,0,821
truly,0,819
cloth,0,818
simple,0,810
seeing,0,807
feminist,0,806
tally,0,806
truth,0,791
doubt,0,776
camera,0,776
suppose,0,774
extra,0,773
obvious,0,773
surprise,0,772
brother,0,759
score,0,756
perhaps,0,753
blood,0,752
except,0,748
sleep,0,747
material,0,745
offensive,0,740
shoot,0,739
overt,0,739
strange,0,735
inside,0,734
spire,0,726
drama,0,722
bound,0,721
powerful,0,713
middle,0,712
constant,0,706
contain,0,706
concept,0,694
river,0,693
regular,0,692
compute,0,691
happy,0,689
pension,0,689
sight,0,686
stereo,0,686
dying,0,683
daughter,0,682
construct,0,676
affair,0,670
ridge,0,669
natural,0,668
theme,0,664
profit,0,664
historic,0,656
scrap,0,653
secret,0,651
drunk,0,649
elope,0,648
spare,0,646
thousand,0,645
sensual,0,641
excite,0,641
print,0,637
paint,0,636
strength,0,635
vantage,0,635
proud,0,626
graphic,0,624
trick,0,622
straight,0,619
beautiful,0,613
stalk,0,605
modern,0,604
forge,0,597
ethic,0,595
migrant,0,594
sister,0,590
thank,0,588
arrive,0,588
energy,0,587
engine,0,587
impress,0,586
absolute,0,585
grape,0,584
deliver,0,582
trouble,0,579
dream,0,576
scrape,0,576
skill,0,575
novel,0,568
familiar,0,566
clean,0,566
grand,0,566
animal,0,565
solid,0,565
battle,0,562
hundred,0,561
price,0,558
dollar,0,557
frame,0,554
eject,0,553
stuff,0,552
utter,0,552
worse,0,551
victor,0,550
raisin,0,549
imagine,0,546
oppress,0,546
stall,0,545
engineer,0,545
fashion,0,539
caught,0,538
plant,0,534
stream,0,534
forget,0,533
portray,0,533
capita,0,532
gotten,0,531
quote,0,530
label,0,530
trace,0,530
window,0,527
tough,0,525
arrow,0,525
talent,0,524
famous,0,522
taught,0,518
exhibit,0,518
dedicate,0,517
posse,0,517
cream,0,515
stick,0,514
brand,0,513
tempo,0,508
television,0,505
please,0,505
catch,0,504
tension,0,499
brain,0,498
element,0,498
reign,0,496
escape,0,494
broken,0,492
peace,0,491
equate,0,490
marginal,0,489
husband,0,487
curate,0,486
affirm,0,484
worst,0,481
church,0,481
fault,0,481
prefer,0,480
weight,0,478
afraid,0,474
apparent,0,474
alley,0,474
edict,0,472
cycle,0,470
transition,0,465
entertain,0,465
celebrate,0,462
truck,0,461
feminism,0,460
reputation,0,460
sphere,0,457
spark,0,455
troll,0,455
champion,0,452
strain,0,452
disturb,0,451
spirit,0,450
patio,0,449
depict,0,448
comedy,0,447
innocent,0,447
tense,0,447
teenage,0,444
circumstance,0,443
taste,0,438
ranch,0,438
settle,0,437
exploit,0,437
brutal,0,434
terse,0,434
green,0,431
slight,0,431
resist,0,429
craft,0,426
chase,0,426
classic,0,422
mouth,0,421
custom,0,421
lyric,0,420
built,0,419
burglar,0,419
stone,0,417
edible,0,414
strip,0,413
heavy,0,412
pound,0,412
exception,0,410
scare,0,410
symbol,0,408
funny,0,407
quiet,0,402
glass,0,401
compass,0,400
restaurant,0,399
careful,0,399
fruit,0,399
aside,0,398
surface,0,398
soldier,0,396
ahead,0,393
vocal,0,393
politician,0,393
slave,0,393
convince,0,391
century,0,387
terror,0,387
belong,0,385
surge,0,385
cancel,0,384
drape,0,383
memory,0,379
regret,0,375
scent,0,374
horror,0,373
phrase,0,371
evolution,0,371
angle,0,370
somebody,0,369
waste,0,369
timid,0,366
drawn,0,365
experiment,0,365
everybody,0,364
uncle,0,363
quaint,0,363
chant,0,362
documentary,0,361
spoken,0,360
silent,0,358
sweet,0,358
ponder,0,358
addict,0,358
intersect,0,358
apple,0,357
grown,0,356
sudden,0,355
predict,0,355
guess,0,354
conclude,0,353
blind,0,352
newspaper,0,350
forth,0,348
tight,0,348
breath,0,347
infect,0,347
sweat,0,346
grate,0,342
distinct,0,341
combine,0,341
capture,0,338
scream,0,338
artisan,0,338
conclusion,0,337
intoxicate,0,337
finger,0,336
competition,0,335
border,0,335
pitch,0,335
acquaint,0,334
excel,0,332
chest,0,331
witch,0,331
dramatic,0,329
aggressive,0,328
destroy,0,328
literal,0,327
intense,0,326
atmosphere,0,326
visual,0,324
bully,0,324
scale,0,323
pride,0,322
latter,0,322
concert,0,321
dominate,0,318
driven,0,317
smart,0,316
cheer,0,313
plenty,0,312
journey,0,312
speed,0,312
stretch,0,310
romantic,0,309
crack,0,309
prospect,0,304
wonderful,0,303
exercise,0,303
costume,0,302
beauty,0,301
lesson,0,301
rival,0,301
somehow,0,300
bottom,0,300
angry,0,298
bright,0,298
everywhere,0,298
praise,0,298
plate,0,297
mentor,0,297
harsh,0,296
urban,0,294
caution,0,294
coffee,0,293
holiday,0,292
micro,0,292
villa,0,292
tragedy,0,291
terrible,0,290
assert,0,289
embarrass,0,289
refuge,0,288
somewhat,0,286
radio,0,286
bedroom,0,286
worthy,0,286
punch,0,286
stock,0,285
sable,0,284
smoke,0,283
weird,0,282
veteran,0,281
horse,0,281
flash,0,281
habit,0,281
motivate,0,281
machine,0,279
dynamic,0,278
circle,0,278
twist,0,278
cheap,0,277
signature,0,277
exclusive,0,277
cinema,0,277
incredible,0,276
magazine,0,276
awful,0,275
depth,0,273
compel,0,273
anywhere,0,272
casual,0,272
crazy,0,271
alive,0,271
genuine,0,271
elder,0,271
taint,0,271
pensive,0,271
survive,0,270
trade,0,267
anyway,0,267
routine,0,266
opposite,0,265
pleasure,0,265
declare,0,265
debut,0,264
ridiculous,0,264
vagina,0,264
demean,0,264
dominant,0,263
evolve,0,263
comic,0,262
shoulder,0,261
shout,0,261
contrast,0,260
shall,0,260
forgot,0,259
storm,0,258
command,0,258
airman,0,258
panic,0,257
render,0,257
route,0,256
genre,0,256
trait,0,256
comparison,0,255
insult,0,255
cable,0,255
height,0,254
bullet,0,254
commercial,0,253
closure,0,253
steal,0,252
observe,0,252
mainstream,0,251
massive,0,250
entry,0,250
climb,0,250
wrest,0,250
alike,0,249
tragic,0,248
conception,0,248
excess,0,248
fiction,0,247
patriarch,0,247
therapist,0,246
linger,0,246
fusion,0,246
stuck,0,245
literature,0,245
painful,0,245
torture,0,245
shake,0,244
instrument,0,244
earth,0,243
divide,0,243
incorrect,0,242
chill,0,242
desperate,0,240
refugee,0,240
knock,0,240
confess,0,240
intellect,0,240
studio,0,239
somewhere,0,238
impressive,0,238
scary,0,238
midst,0,238
abandon,0,238
advertise,0,237
random,0,236
plane,0,236
empty,0,235
lifetime,0,235
chick,0,235
radical,0,234
convention,0,234
thrill,0,234
cabin,0,234
absurd,0,233
stair,0,233
horrible,0,232
ritual,0,232
legacy,0,231
guitar,0,230
bottle,0,230
brave,0,229
angel,0,229
philosophy,0,228
festival,0,228
smile,0,228
contribution,0,227
theory,0,226
weather,0,226
switch,0,226
awkward,0,225
dusky,0,225
shadow,0,224
sorry,0,223
confuse,0,223
berate,0,223
corrupt,0,222
adjust,0,222
confine,0,221
cigar,0,221
pathetic,0,220
wound,0,219
excellent,0,218
electric,0,218
agent,0,217
alien,0,217
scenario,0,215
channel,0,215
rebel,0,215
western,0,215
actress,0,214
chain,0,214
magic,0,214
chart,0,214
kidnap,0,213
maxim,0,212
amber,0,212
spotlight,0,211
lifestyle,0,211
loose,0,211
molest,0,211
invent,0,210
relief,0,209
forgotten,0,208
mutual,0,208
evident,0,208
stupid,0,208
decent,0,208
breast,0,208
sacrifice,0,207
mature,0,207
anybody,0,206
grace,0,206
manifest,0,206
injure,0,206
insight,0,205
genital,0,205
brown,0,204
mirror,0,204
morrow,0,204
characteristic,0,202
visitor,0,202
hyper,0,202
laughter,0,201
arrange,0,201
obsess,0,201
footage,0,200
interpretation,0,200
fantastic,0,200
skeptic,0,200
fought,0,199
lucky,0,199
device,0,199
forever,0,199
ordinary,0,199
contradict,0,199
thrown,0,198
competitive,0,198
subtle,0,198
gross,0,198
continual,0,198
eager,0,196
smooth,0,196
electro,0,196
lunch,0,195
cruel,0,195
efficient,0,195
comedian,0,195
misogyny,0,194
shine,0,194
revolution,0,194
grass,0,194
bunch,0,193
sharp,0,193
musician,0,193
cigarette,0,192
noise,0,191
button,0,191
execute,0,191
blank,0,191
worldwide,0,189
nuance,0,188
spray,0,187
execution,0,187
fabric,0,186
liberate,0,186
aggravate,0,186
beside,0,185
landscape,0,184
showcase,0,184
cartoon,0,184
crash,0,184
endure,0,184
romance,0,183
medium,0,183
restroom,0,183
skirt,0,183
nominate,0,183
attach,0,183
temper,0,183
wheel,0,182
haunt,0,182
fluent,0,182
momentum,0,181
aggression,0,181
indeed,0,180
impression,0,180
await,0,180
optimist,0,180
nobody,0,179
proportionate,0,179
spear,0,179
uniform,0,178
dirty,0,177
hatred,0,177
slavery,0,177
prostitute,0,177
conceal,0,177
arise,0,176
fright,0,176
phenomenon,0,175
lapse,0,175
poetry,0,174
nervous,0,174
embryo,0,174
convey,0,173
evoke,0,173
bought,0,172
fantasy,0,172
square,0,172
inspiration,0,172
frank,0,172
compose,0,172
misogynist,0,171
frustrate,0,171
mystery,0,170
bread,0,170
bubble,0,170
priest,0,170
museum,0,169
parallel,0,169
electron,0,169
electronic,0,168
tower,0,168
thematic,0,168
tying,0,168
creep,0,168
barre,0,168
plastic,0,167
aesthetic,0,167
sidewalk,0,167
sketch,0,167
tenant,0,167
counterpart,0,167
hidden,0,166
chicken,0,166
sweep,0,166
threw,0,165
baseball,0,165
forgive,0,165
pocket,0,165
colon,0,165
versus,0,164
soccer,0,164
trash,0,164
smell,0,164
tomorrow,0,164
charm,0,164
bounce,0,164
erase,0,163
broadcast,0,163
moderate,0,163
grave,0,163
afterward,0,163
trivia,0,163
simultaneous,0,163
compelling,0,162
brush,0,162
frighten,0,162
aftermath,0,161
entrepreneur,0,161
percussion,0,161
premise,0,160
critique,0,160
flood,0,160
infamous,0,159
profound,0,159
crush,0,159
comprise,0,159
architect,0,159
enthusiast,0,159
portrayal,0,158
orange,0,158
naked,0,158
monologue,0,158
cardinal,0,158
beaten,0,157
wrestle,0,157
breed,0,157
contemporary,0,156
digital,0,156
minimal,0,156
premiere,0,156
drunken,0,155
exhibition,0,155
click,0,155
cheat,0,155
exhaust,0,155
prime,0,153
revenge,0,153
empathy,0,153
sober,0,153
knife,0,153
legend,0,153
cheese,0,152
intimacy,0,152
recipe,0,152
introduction,0,151
brilliant,0,151
prize,0,151
grain,0,151
polar,0,151
metal,0,150
spectrum,0,150
heroes,0,150
franchise,0,149
abduct,0,149
whenever,0,148
thoughtful,0,148
villain,0,148
hilarious,0,147
deliberate,0,147
revel,0,147
fallen,0,146
authentic,0,146
tractor,0,146
commentary,0,145
makeup,0,145
immense,0,145
couch,0,145
protagonist,0,145
precise,0,145
float,0,145
spoon,0,145
giant,0,144
collegiate,0,144
penis,0,144
loyal,0,144
mortal,0,144
decor,0,144
serial,0,143
array,0,143
nowhere,0,143
intelligent,0,143
trivial,0,143
ingredient,0,143
peach,0,143
inevitable,0,142
spiritual,0,142
ghost,0,142
suppress,0,142
spell,0,142
betray,0,142
stride,0,142
hookup,0,141
satisfy,0,141
instant,0,141
pizza,0,140
advent,0,139
accompany,0,138
tangle,0,138
proclaim,0,138
incarcerate,0,138
annoy,0,138
swift,0,137
candle,0,136
virgin,0,136
bargain,0,136
patch,0,136
celebrity,0,135
elite,0,135
blend,0,135
stomach,0,135
nightmare,0,135
compliment,0,135
boast,0,135
heighten,0,135
berry,0,135
factory,0,134
convenient,0,134
regime,0,134
thrive,0,134
dimension,0,134
rabbi,0,134
awesome,0,133
memoir,0,133
interrupt,0,133
patriarchy,0,132
quipped,0,132
appall,0,132
curious,0,131
volume,0,131
fetus,0,131
mountain,0,131
gentle,0,131
adolescent,0,130
sauce,0,130
sincere,0,130
resonate,0,130
clock,0,130
existent,0,130
grocery,0,129
kitchen,0,129
pause,0,129
grandmother,0,128
village,0,128
satisfaction,0,128
essay,0,128
formula,0,128
orchestra,0,128
cling,0,128
influential,0,127
necessity,0,127
enthusiastic,0,127
naive,0,127
shell,0,127
stroke,0,127
denounce,0,126
filter,0,126
motive,0,126
spoil,0,126
slide,0,125
superior,0,125
cloud,0,125
sheet,0,125
lighten,0,125
finale,0,124
protein,0,124
pleasant,0,124
realm,0,123
thick,0,123
stare,0,123
triumph,0,123
accent,0,123
inflict,0,123
ignorant,0,122
burst,0,122
bitch,0,122
segregate,0,122
mobile,0,121
abstract,0,121
preach,0,121
remote,0,120
heartbreak,0,120
poison,0,120
juice,0,119
landlord,0,119
occupation,0,119
transmit,0,119
horrify,0,119
elaborate,0,118
shield,0,118
absent,0,118
notorious,0,118
throat,0,118
tendency,0,117
freak,0,117
angst,0,117
pursuit,0,116
sugar,0,116
enemy,0,116
queen,0,116
ironic,0,116
temperature,0,116
screw,0,116
fringe,0,116
detriment,0,116
yellow,0,115
portrait,0,115
metaphor,0,115
needle,0,115
facet,0,115
trump,0,115
correspond,0,115
gland,0,115
silly,0,114
ideology,0,114
hallway,0,114
closet,0,114
divorce,0,114
greet,0,114
pagan,0,114
centric,0,114
symbolic,0,113
blanket,0,113
booth,0,113
spouse,0,113
bruise,0,113
inject,0,113
southern,0,112
bizarre,0,112
collapse,0,112
flick,0,112
sheer,0,111
alternate,0,111
circus,0,111
flight,0,111
lineup,0,111
scratch,0,111
delight,0,111
artificial,0,110
mysterious,0,110
gallery,0,110
homework,0,110
cousin,0,110
clown,0,110
validate,0,110
wealthy,0,109
stark,0,109
academia,0,109
flour,0,109
impair,0,109
industrial,0,108
provocative,0,108
household,0,108
admire,0,108
elevate,0,108
awake,0,108
cookie,0,108
bleed,0,108
coincide,0,108
shore,0,108
infer,0,108
saint,0,108
elementary,0,107
facial,0,107
survival,0,107
erotic,0,107
immoral,0,107
birthday,0,107
arena,0,107
muscle,0,107
spill,0,107
infant,0,107
altogether,0,107
induce,0,107
flame,0,107
impart,0,107
waken,0,107
feminine,0,106
brick,0,106
adventure,0,106
clone,0,106
coast,0,106
relieve,0,106
descend,0,106
jewel,0,106
literary,0,105
wisdom,0,105
chocolate,0,105
corruption,0,105
grasp,0,105
slaughter,0,105
grief,0,104
clever,0,104
cater,0,104
diversion,0,104
bloody,0,103
chorus,0,103
transformation,0,103
honesty,0,103
resemble,0,103
flirt,0,103
beneath,0,102
predatory,0,102
charity,0,102
organic,0,102
storytelling,0,102
thankful,0,102
ambiguous,0,102
marry,0,102
supremacy,0,102
passive,0,102
