,token,frequency
1177,sexual,10429
546,assault,8204
183,student,3723
1713,harass,1759
2562,convict,1475
2670,campus,1305
1062,school,1244
2348,month,1244
1853,conduct,1240
1806,story,1083
2129,minute,1035
1389,charge,1005
1020,father,984
631,defend,971
1536,victim,969
1962,invest,897
1822,start,891
2724,light,887
1281,woman,817
2924,history,791
2555,accuse,767
2260,sentence,756
1940,football,711
1872,women,658
2447,event,492
21,judge,460
1769,abuse,439
2769,allege,422
886,thing,419
282,police,409
2060,culture,393
1857,survivor,372
1308,professor,365
2573,leave,359
2161,cause,356
2426,plain,354
942,attack,351
2083,arrest,331
1090,count,331
1685,state,319
2622,nation,316
1871,complain,292
1032,trial,288
2783,complaint,279
1934,found,275
377,college,273
30,support,263
1820,would,262
813,claim,257
1622,office,256
1275,appeal,251
2817,coach,250
1277,public,250
636,guilt,249
2757,guilty,248
2935,people,243
1219,sting,242
111,train,236
1892,right,235
1530,issue,234
1248,member,226
1305,stand,224
743,every,224
1288,power,217
2466,conscious,211
1156,expel,211
1426,billion,203
1070,boycott,199
1777,spend,199
2331,graduate,198
2563,enter,196
457,resident,191
2533,attempt,185
420,policy,185
2007,night,183
2403,lawsuit,181
2894,justice,180
643,change,180
1495,could,178
2888,first,177
2878,cover,177
2662,faculty,175
2886,athletic,175
237,detail,173
158,crime,173
746,rough,172
2330,think,171
1593,response,167
2538,protest,167
2258,fraternity,165
2666,today,164
1510,place,163
848,commit,163
765,don't,163
1046,follow,161
1829,survey,159
1516,raise,159
2463,prison,158
325,child,154
1886,investigate,154
687,official,151
2797,happen,150
2618,dress,150
1310,serve,149
1007,expelled,149
1457,media,147
519,court,146
568,class,145
0,bring,145
1469,liquor,145
1763,three,144
790,employee,143
2201,quest,143
556,basketball,143
1227,describe,142
917,suspect,142
2639,receive,142
2553,still,142
870,round,142
276,gender,139
2383,prevention,139
729,experience,137
897,hockey,137
1628,lawyer,136
548,problem,134
145,aware,134
1038,speak,134
760,shock,133
2750,staff,132
1672,direct,132
514,suspend,130
195,handle,130
51,article,129
121,alcohol,128
2306,prompt,122
651,address,121
229,false,121
1011,force,120
1906,person,119
2897,ought,116
2519,source,116
2112,depart,116
1552,ratio,115
1912,search,113
76,female,112
126,social,112
1814,attention,112
2135,discuss,112
2279,athlete,112
602,settle,112
1249,campaign,110
854,believe,108
1141,punish,108
1122,federal,106
2407,forward,105
1057,clear,105
811,share,104
1565,teach,104
1642,never,104
2747,white,104
1079,system,103
2243,ready,101
1787,press,101
1371,known,100
2843,health,100
2706,emerge,99
1528,allow,98
2798,plead,97
130,degree,97
2539,learn,97
133,group,96
2544,effort,96
2444,director,95
174,parent,95
2028,spirit,95
768,someone,95
