,index,topic_info
0,0,"0.005*""women"" + 0.005*""think"" + 0.005*""right"" + 0.004*""know"" + 0.004*""stori"" + 0.004*""film"" + 0.003*""trump"" + 0.003*""want"" + 0.003*""life"" + 0.003*""world"""
1,1,"0.005*""campu"" + 0.004*""work"" + 0.004*""citi"" + 0.004*""want"" + 0.004*""servic"" + 0.004*""school"" + 0.003*""night"" + 0.003*""go"" + 0.003*""state"" + 0.003*""offic"""
2,2,"0.010*""campu"" + 0.008*""work"" + 0.008*""women"" + 0.006*""issu"" + 0.005*""commun"" + 0.005*""group"" + 0.005*""violenc"" + 0.005*""organ"" + 0.005*""presid"" + 0.005*""member"""
3,3,"0.008*""campu"" + 0.007*""commun"" + 0.006*""school"" + 0.005*""state"" + 0.005*""work"" + 0.004*""issu"" + 0.004*""educ"" + 0.004*""member"" + 0.004*""need"" + 0.004*""class"""
4,4,"0.005*""state"" + 0.005*""season"" + 0.005*""game"" + 0.005*""team"" + 0.005*""know"" + 0.005*""play"" + 0.004*""think"" + 0.003*""work"" + 0.003*""go"" + 0.003*""love"""
5,5,"0.004*""music"" + 0.004*""work"" + 0.004*""think"" + 0.004*""want"" + 0.003*""know"" + 0.003*""go"" + 0.003*""album"" + 0.003*""campu"" + 0.003*""thing"" + 0.003*""take"""
6,6,"0.011*""state"" + 0.007*""senat"" + 0.005*""fund"" + 0.005*""research"" + 0.005*""work"" + 0.005*""health"" + 0.004*""right"" + 0.004*""committe"" + 0.004*""support"" + 0.004*""offic"""
7,7,"0.013*""report"" + 0.009*""investig"" + 0.009*""case"" + 0.007*""offic"" + 0.007*""campu"" + 0.007*""polic"" + 0.006*""victim"" + 0.006*""crime"" + 0.005*""accord"" + 0.005*""incid"""
8,8,"0.014*""women"" + 0.010*""violenc"" + 0.010*""report"" + 0.010*""campu"" + 0.008*""victim"" + 0.007*""rape"" + 0.006*""commun"" + 0.005*""stanford"" + 0.004*""issu"" + 0.004*""survivor"""
9,9,"0.016*""polic"" + 0.009*""report"" + 0.007*""accord"" + 0.006*""victim"" + 0.006*""state"" + 0.006*""madison"" + 0.005*""crime"" + 0.005*""offic"" + 0.005*""charg"" + 0.005*""woman"""
10,10,"0.006*""drink"" + 0.005*""alcohol"" + 0.005*""go"" + 0.005*""women"" + 0.004*""think"" + 0.004*""help"" + 0.004*""know"" + 0.004*""need"" + 0.004*""work"" + 0.004*""drug"""
