"location","date","hl_tweets","hl_articles","...1","article_coverage","tweet_coverage","tweet_count","article_count"
"IUB",2000-01-01,0,0,0,0,0,0,0
"IUB",2000-01-02,0,0,1,0,0,0,0
"IUB",2000-01-03,0,0,2,0,0,0,0
"IUB",2000-01-04,0,0,3,0,0,0,0
"IUB",2000-01-05,0,0,4,0,0,0,0
"IUB",2000-01-06,0,0,5,0,0,0,0
"IUB",2000-01-07,0,0,6,0,0,0,0
"IUB",2000-01-08,0,0,7,0,0,0,0
"IUB",2000-01-09,0,0,8,0,0,0,0
"IUB",2000-01-10,0,0,9,0,0,0,0
"IUB",2000-01-11,0,0,10,0,0,0,0
"IUB",2000-01-12,0,0,11,0,0,0,0
"IUB",2000-01-13,0,0,12,0,0,0,0
"IUB",2000-01-14,0,0,13,0,0,0,0
"IUB",2000-01-15,0,0,14,0,0,0,0
"IUB",2000-01-16,0,0,15,0,0,0,0
"IUB",2000-01-17,0,0,16,0,0,0,0
"IUB",2000-01-18,0,0,17,0,0,0,0
"IUB",2000-01-19,0,0,18,0,0,0,0
"IUB",2000-01-20,0,0,19,0,0,0,0
"IUB",2000-01-21,0,0,20,0,0,0,0
"IUB",2000-01-22,0,0,21,0,0,0,0
"IUB",2000-01-23,0,0,22,0,0,0,0
"IUB",2000-01-24,0,0,23,0,0,0,0
"IUB",2000-01-25,0,0,24,0,0,0,0
"IUB",2000-01-26,0,0,25,0,0,0,0
"IUB",2000-01-27,0,0,26,0,0,0,0
"IUB",2000-01-28,0,0,27,0,0,0,0
"IUB",2000-01-29,0,0,28,0,0,0,0
"IUB",2000-01-30,0,0,29,0,0,0,0
"IUB",2000-01-31,0,0,30,0,0,0,0
"IUB",2000-02-01,0,0,31,0,0,0,0
"IUB",2000-02-02,0,0,32,0,0,0,0
"IUB",2000-02-03,0,0,33,0,0,0,0
"IUB",2000-02-04,0,0,34,0,0,0,0
"IUB",2000-02-05,0,0,35,0,0,0,0
"IUB",2000-02-06,0,0,36,0,0,0,0
"IUB",2000-02-07,0,0,37,0,0,0,0
"IUB",2000-02-08,0,0,38,0,0,0,0
"IUB",2000-02-09,0,0,39,0,0,0,0
"IUB",2000-02-10,0,0,40,0,0,0,0
"IUB",2000-02-11,0,0,41,0,0,0,0
"IUB",2000-02-12,0,0,42,0,0,0,0
"IUB",2000-02-13,0,0,43,0,0,0,0
"IUB",2000-02-14,0,0,44,0,0,0,0
"IUB",2000-02-15,0,0,45,0,0,0,0
"IUB",2000-02-16,0,0,46,0,0,0,0
"IUB",2000-02-17,0,0,47,0,0,0,0
"IUB",2000-02-18,0,0,48,0,0,0,0
"IUB",2000-02-19,0,0,49,0,0,0,0
"IUB",2000-02-20,0,0,50,0,0,0,0
"IUB",2000-02-21,0,0,51,0,0,0,0
"IUB",2000-02-22,0,0,52,0,0,0,0
"IUB",2000-02-23,0,0,53,0,0,0,0
"IUB",2000-02-24,0,0,54,0,0,0,0
"IUB",2000-02-25,0,0,55,0,0,0,0
"IUB",2000-02-26,0,0,56,0,0,0,0
"IUB",2000-02-27,0,0,57,0,0,0,0
"IUB",2000-02-28,0,0,58,0,0,0,0
"IUB",2000-02-29,0,0,59,0,0,0,0
"IUB",2000-03-01,0,0,60,0,0,0,0
"IUB",2000-03-02,0,0,61,0,0,0,0
"IUB",2000-03-03,0,0,62,0,0,0,0
"IUB",2000-03-04,0,0,63,0,0,0,0
"IUB",2000-03-05,0,0,64,0,0,0,0
"IUB",2000-03-06,0,0,65,0,0,0,0
"IUB",2000-03-07,0,0,66,0,0,0,0
"IUB",2000-03-08,0,0,67,0,0,0,0
"IUB",2000-03-09,0,0,68,0,0,0,0
"IUB",2000-03-10,0,0,69,0,0,0,0
"IUB",2000-03-11,0,0,70,0,0,0,0
"IUB",2000-03-12,0,0,71,0,0,0,0
"IUB",2000-03-13,0,0,72,0,0,0,0
"IUB",2000-03-14,0,0,73,0,0,0,0
"IUB",2000-03-15,0,0,74,0,0,0,0
"IUB",2000-03-16,0,0,75,0,0,0,0
"IUB",2000-03-17,0,0,76,0,0,0,0
"IUB",2000-03-18,0,0,77,0,0,0,0
"IUB",2000-03-19,0,0,78,0,0,0,0
"IUB",2000-03-20,0,0,79,0,0,0,0
"IUB",2000-03-21,0,0,80,0,0,0,0
"IUB",2000-03-22,0,0,81,0,0,0,0
"IUB",2000-03-23,0,0,82,0,0,0,0
"IUB",2000-03-24,0,0,83,0,0,0,0
"IUB",2000-03-25,0,0,84,0,0,0,0
"IUB",2000-03-26,0,0,85,0,0,0,0
"IUB",2000-03-27,0,0,86,0,0,0,0
"IUB",2000-03-28,0,0,87,0,0,0,0
"IUB",2000-03-29,0,0,88,0,0,0,0
"IUB",2000-03-30,0,0,89,0,0,0,0
"IUB",2000-03-31,0,0,90,0,0,0,0
"IUB",2000-04-01,0,0,91,0,0,0,0
"IUB",2000-04-02,0,0,92,0,0,0,0
"IUB",2000-04-03,0,0,93,0,0,0,0
"IUB",2000-04-04,0,0,94,0,0,0,0
"IUB",2000-04-05,0,0,95,0,0,0,0
"IUB",2000-04-06,0,0,96,0,0,0,0
"IUB",2000-04-07,0,0,97,0,0,0,0
"IUB",2000-04-08,0,0,98,0,0,0,0
"IUB",2000-04-09,0,0,99,0,0,0,0
"IUB",2000-04-10,0,0,100,0,0,0,0
"IUB",2000-04-11,0,0,101,0,0,0,0
"IUB",2000-04-12,0,0,102,0,0,0,0
