,entities,context_annotations,source,geo,conversation_id,public_metrics,text,id,lang,created_at,possibly_sensitive,author_id,reply_settings,attachments,referenced_tweets,in_reply_to_user_id
0,"{'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/xNwJvsLWpO', 'expanded_url': 'https://www.wearethepit.com/2021/11/breaking-marilyn-mansons-home-raided-by-police-over-sexual-assault-allegations/', 'display_url': 'wearethepit.com/2021/11/breaki…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1465527404265410561/GFb-DQK8?format=jpg&name=orig', 'width': 1000, 'height': 775}, {'url': 'https://pbs.twimg.com/news_img/1465527404265410561/GFb-DQK8?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': ""Breaking: Marilyn Manson's Home Raided by Police Over Sexual Assault Allegations - The Pit"", 'description': 'Manson was not home at the time of the raid.', 'unwound_url': 'https://www.wearethepit.com/2021/11/breaking-marilyn-mansons-home-raided-by-police-over-sexual-assault-allegations/'}], 'annotations': [{'start': 0, 'end': 13, 'probability': 0.978, 'type': 'Person', 'normalized_text': 'Marilyn Manson'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '916300372989304832', 'name': 'Marilyn Manson', 'description': 'Marilyn Manson'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '916300372989304832', 'name': 'Marilyn Manson', 'description': 'Marilyn Manson'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '806571747730341888', 'name': 'Rock', 'description': 'Rock'}}]",Twitter for iPhone,{'place_id': '004e2b299a1fb473'},1465817662265647104,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Marilyn Manson’s Home Raided by Police As Part of Sexual Assault Investigation - https://t.co/xNwJvsLWpO,1465817662265647104,en,2021-11-30T22:58:58.000Z,False,455175154,everyone,,,
1,"{'urls': [{'start': 217, 'end': 240, 'url': 'https://t.co/qFPQ5aMYWQ', 'expanded_url': 'https://twitter.com/telldylan/status/1419457315938476032/video/1', 'display_url': 'pic.twitter.com/qFPQ5aMYWQ'}], 'annotations': [{'start': 76, 'end': 85, 'probability': 0.9376, 'type': 'Person', 'normalized_text': 'Louis C.K.'}, {'start': 123, 'end': 127, 'probability': 0.8357, 'type': 'Person', 'normalized_text': 'Louis'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '928689822876577793', 'name': 'Louis C.K.', 'description': 'Louis C.K.'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '928689822876577793', 'name': 'Louis C.K.', 'description': 'Louis C.K.'}}]",Twitter for iPhone,{'place_id': '07d9e3ac0e487000'},1419457315938476032,"{'retweet_count': 24, 'reply_count': 6, 'like_count': 83, 'quote_count': 5}","Protesters calling for a boycott of Comedy on State b/c the club has booked Louis C.K. for five (sold out) shows. “Boycott Louis, till he’s broke, sexual assault is not a joke.” They plan on picketing all five shows. https://t.co/qFPQ5aMYWQ",1419457315938476032,en,2021-07-26T00:39:31.000Z,False,70249128,everyone,{'media_keys': ['7_1419457248913461252']},,
2,"{'urls': [{'start': 279, 'end': 302, 'url': 'https://t.co/3mGnJwZfwf', 'expanded_url': 'https://twitter.com/AnthonyDaBruzzi/status/1417880257953157120/photo/1', 'display_url': 'pic.twitter.com/3mGnJwZfwf'}], 'mentions': [{'start': 11, 'end': 23, 'username': 'RepDittrich', 'id': '1069634562605617155'}], 'annotations': [{'start': 183, 'end': 190, 'probability': 0.9281, 'type': 'Person', 'normalized_text': 'Kayleigh'}, {'start': 212, 'end': 225, 'probability': 0.9965, 'type': 'Person', 'normalized_text': 'Kayleigh Kozak'}, {'start': 270, 'end': 276, 'probability': 0.9935, 'type': 'Place', 'normalized_text': 'Arizona'}]}",,Twitter for iPhone,{'place_id': '07d9f5bc6e086003'},1417880257953157120,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}","RIGHT NOW: @RepDittrich is introducing legislation allowing certain sexual assault victims to petition the court for a lifetime restraining order against their convicted assaulter.

“Kayleigh’s Law” is named for Kayleigh Kozak who spoke about spearheading the effort in Arizona. https://t.co/3mGnJwZfwf",1417880257953157120,en,2021-07-21T16:12:51.000Z,False,3382591954,everyone,{'media_keys': ['3_1417880247014498310']},,
3,"{'urls': [{'start': 119, 'end': 142, 'url': 'https://t.co/vYyeLlXO5K', 'expanded_url': 'https://madison.com/ct/news/local/govt-and-politics/wisconsin-doj-plans-to-launch-sexual-assault-kit-tracker/article_ab12e5bb-cfd5-5a87-963e-54882ce8cf1a.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share', 'display_url': 'madison.com/ct/news/local/…', 'status': 200, 'unwound_url': 'https://captimes.com/news/local/govt-and-politics/wisconsin-doj-plans-to-launch-sexual-assault-kit-tracker/article_1d73ffc2-95d8-58cc-aae8-14cd5ce78b4a.html'}], 'mentions': [{'start': 147, 'end': 156, 'username': 'CapTimes', 'id': '15845694'}], 'annotations': [{'start': 24, 'end': 36, 'probability': 0.5387, 'type': 'Organization', 'normalized_text': 'WI Republican'}, {'start': 62, 'end': 74, 'probability': 0.8163, 'type': 'Organization', 'normalized_text': 'Wisconsin DOJ'}]}",,Twitter for Android,{'place_id': '004e2b299a1fb473'},1382713600738013189,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Incredible buried lead: WI Republican can't even pass this??? Wisconsin DOJ plans to launch sexual assault kit tracker https://t.co/vYyeLlXO5K via @CapTimes,1382713600738013189,en,2021-04-15T15:13:06.000Z,False,23174824,everyone,,,
4,"{'mentions': [{'start': 0, 'end': 11, 'username': 'ChrisCuomo', 'id': '22799750'}], 'annotations': [{'start': 17, 'end': 21, 'probability': 0.9971, 'type': 'Person', 'normalized_text': 'Chris'}, {'start': 72, 'end': 81, 'probability': 0.7813, 'type': 'Person', 'normalized_text': 'Matt gates'}]}",,Twitter for iPhone,{'place_id': '756059b9675acdae'},1380726439314657281,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@ChrisCuomo Said Chris about his brother the serial killer! Going after Matt gates when your brother is a serial rapist, sexual assault, yellow journalism",1380731838604443650,en,2021-04-10T03:58:17.000Z,False,940983101521620993,everyone,,"[{'type': 'replied_to', 'id': '1380726439314657281'}]",22799750
5,"{'mentions': [{'start': 0, 'end': 10, 'username': 'MEPFuller', 'id': '398088661'}, {'start': 11, 'end': 22, 'username': 'jaketapper', 'id': '14529929'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '950394966307586048', 'name': 'Jake Tapper', 'description': 'Jake Tapper'}}, {'domain': {'id': '94', 'name': 'Journalist', 'description': ""A journalist like 'Anderson Cooper'""}, 'entity': {'id': '950394966307586048', 'name': 'Jake Tapper', 'description': 'Jake Tapper'}}]",Twitter for iPhone,{'place_id': '756059b9675acdae'},1354942368886218752,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@MEPFuller @jaketapper Didn’t token harris agree with all those women who accuse sleepy of touching? Sexual assault? Racism?,1355011932953194502,en,2021-01-29T04:36:34.000Z,False,940983101521620993,everyone,,"[{'type': 'replied_to', 'id': '1354943107633197067'}]",398088661
6,,,Twitter for iPhone,{'place_id': '756059b9675acdae'},1325307326425870339,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","What a role model a piece of crap who accuses Man of sexual assault, racism, can be vice president! Every adult woman yes tell your daughter all you need to do is accuse Man of sexual assault and you can become vice president",1325307326425870339,en,2020-11-08T05:21:04.000Z,False,940983101521620993,everyone,,,
7,"{'mentions': [{'start': 0, 'end': 12, 'username': 'JulieDiCaro', 'id': '28565368'}]}",,Twitter for iPhone,{'place_id': '756059b9675acdae'},1325261086820589574,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@JulieDiCaro LOL didn’t know you supported women accusing men of sexual assault and then running for vice president,1325266992706838528,en,2020-11-08T02:40:47.000Z,False,940983101521620993,everyone,,"[{'type': 'replied_to', 'id': '1325261086820589574'}]",28565368
8,"{'mentions': [{'start': 0, 'end': 13, 'username': 'MeghanMcCain', 'id': '23176276'}, {'start': 14, 'end': 23, 'username': 'JoeBiden', 'id': '939091'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1141048697586769920', 'name': 'Meghan McCain', 'description': 'Meghan McCain'}}, {'domain': {'id': '58', 'name': 'Entertainment Personality', 'description': 'An entertainment personality in the world, like Anderson Cooper or Miranda Sings'}, 'entity': {'id': '1141048697586769920', 'name': 'Meghan McCain', 'description': 'Meghan McCain'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}]",Twitter for iPhone,{'place_id': '756059b9675acdae'},1325262503258058752,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@MeghanMcCain @JoeBiden How do you justify a woman on national stage accusing him of sexual assault, racism and then taking the job?",1325266295240187904,en,2020-11-08T02:38:01.000Z,False,940983101521620993,everyone,,"[{'type': 'replied_to', 'id': '1325262503258058752'}]",23176276
9,"{'mentions': [{'start': 0, 'end': 13, 'username': 'KamalaHarris', 'id': '30354991'}, {'start': 14, 'end': 23, 'username': 'JoeBiden', 'id': '939091'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '875006493984149509', 'name': 'Kamala Harris', 'description': 'US Senator Kamala Harris (CA)'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '875006493984149509', 'name': 'Kamala Harris', 'description': 'US Senator Kamala Harris (CA)'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}]",Twitter for iPhone,{'place_id': '756059b9675acdae'},1323440953911320577,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@KamalaHarris @JoeBiden Says the woman who accused of sexual assault, racism, it’s LOL how are you have been duped you are a puppet",1323484363632291840,en,2020-11-03T04:37:16.000Z,False,940983101521620993,everyone,,"[{'type': 'replied_to', 'id': '1323440953911320577'}]",30354991
