,public_metrics,source,entities,text,conversation_id,author_id,geo,lang,created_at,in_reply_to_user_id,id,referenced_tweets,reply_settings,possibly_sensitive,attachments,context_annotations
0,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 14, 'username': 'ArnoldMokoena', 'id': '199321471'}, {'start': 15, 'end': 27, 'username': 'iTweetFacts', 'id': '3198495413'}], 'hashtags': [{'start': 66, 'end': 70, 'tag': 'smh'}]}",@ArnoldMokoena @itweetfacts rape isnt legal ! People still do it! #smh,151654669008125952,33593320,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.54497256, 39.16173853]}}",en,2011-12-27T20:31:40.000Z,199321471,151762190519640065,"[{'type': 'replied_to', 'id': '151654669008125952'}]",everyone,False,,
1,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'mentions': [{'start': 49, 'end': 62, 'username': 'JohnnyKeller', 'id': '500473264'}]}",You know what my favorite sex position is? Rape. @JohnnyKeller,143193600950403072,251760851,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.52874937, 39.17050746]}}",en,2011-12-04T05:03:09.000Z,,143193600950403072,,everyone,False,,
2,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,,Your so ambitious you ready to rape a nigga...,138460105753640960,177742305,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.47721232, 39.16243237]}}",en,2011-11-21T03:33:56.000Z,,138460105753640960,,everyone,False,,
3,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,,I don't rape @Sarebearr13 ... It's consensual,130092322678517760,322368627,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.49710159, 39.16140351]}}",en,2011-10-29T01:23:21.000Z,,130092322678517760,,everyone,False,,
4,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 11, 'username': 'KunyIsland', 'id': '61452820'}]}",@KunyIsland haha she's literally going to rape you! You know that right?! 😖,129070117014347776,48523875,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.53487806, 39.17222026]}}",en,2011-10-26T05:49:34.000Z,61452820,129072155584499712,"[{'type': 'replied_to', 'id': '129070117014347776'}]",everyone,False,,
5,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,,@KissMyC00kie rape..,122404181838544896,177742305,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.5233736, 39.16852909]}}",en,2011-10-07T20:15:36.000Z,94502844,122404731145568256,"[{'type': 'replied_to', 'id': '122404181838544896'}]",everyone,False,,
6,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,,"Finite is like an hour long mind fuck that I didn't want. It's mind rape. Is that a felony? Can I press charges, if so against who?",121279901075636225,57599695,"{'place_id': '1010ecfa7d3a40f8', 'coordinates': {'type': 'Point', 'coordinates': [-86.58934944, 39.14905565]}}",en,2011-10-04T17:45:56.000Z,,121279901075636225,,everyone,False,,
7,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Windows Phone,,Just witnessed an attempted bro rape. Sad thing is that it will probably go unreported.,114012267296727041,273773929,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.52724457, 39.16804504]}}",en,2011-09-14T16:26:57.000Z,,114012267296727041,,everyone,False,,
8,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for BlackBerry®,"{'annotations': [{'start': 0, 'end': 1, 'probability': 0.9192, 'type': 'Organization', 'normalized_text': 'IU'}, {'start': 23, 'end': 32, 'probability': 0.6871, 'type': 'Organization', 'normalized_text': 'Ball State'}, {'start': 44, 'end': 54, 'probability': 0.9602, 'type': 'Person', 'normalized_text': 'Uncle Frank'}]}",IU football might rape Ball State tomorrow. Uncle Frank style.,109643366655991808,179840628,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.52359, 39.17211]}}",en,2011-09-02T15:06:30.000Z,,109643366655991808,,everyone,False,,
9,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 6, 'username': 'FbgPa', 'id': '4174444359'}]}",@FBGPA lol the wibbens rape room,109251448965050368,174765784,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.51158459, 39.1647107]}}",en,2011-09-01T15:02:03.000Z,72958535,109279861125808131,"[{'type': 'replied_to', 'id': '109251448965050368'}]",everyone,False,,
