,created_at,public_metrics,possibly_sensitive,conversation_id,reply_settings,source,author_id,lang,entities,text,id,referenced_tweets,attachments,context_annotations,geo,in_reply_to_user_id
0,2021-12-15T03:50:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1470964504397819911,everyone,SocialFlow,851870218569777152,en,"{'urls': [{'start': 65, 'end': 88, 'url': 'https://t.co/9kNuZcsr5q', 'expanded_url': 'https://trib.al/labPTzg', 'display_url': 'trib.al/labPTzg'}]}",🌱UW-Madison Student Accused Of Sexual Assault + Odana Hills Open https://t.co/9kNuZcsr5q,1470964504397819911,,,,,
1,2021-12-15T03:31:13.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1470959603328430080,everyone,Twitter Web App,20099177,en,"{'mentions': [{'start': 3, 'end': 16, 'username': 'WISCTV_News3', 'id': '16699451'}], 'annotations': [{'start': 52, 'end': 74, 'probability': 0.8173, 'type': 'Organization', 'normalized_text': 'University of Wisconsin'}, {'start': 76, 'end': 82, 'probability': 0.5712, 'type': 'Organization', 'normalized_text': 'Madison'}]}",RT @WISCTV_News3: NEWS 3 NOW INVESTIGATES: A former University of Wisconsin-Madison student accused of third-degree sexual assault on campu…,1470959603328430080,"[{'type': 'retweeted', 'id': '1470951496804192256'}]",,,,
2,2021-12-15T03:26:25.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1470958394911641601,everyone,Twitter for Android,834672494,en,"{'mentions': [{'start': 3, 'end': 16, 'username': 'WISCTV_News3', 'id': '16699451'}], 'annotations': [{'start': 52, 'end': 74, 'probability': 0.8173, 'type': 'Organization', 'normalized_text': 'University of Wisconsin'}, {'start': 76, 'end': 82, 'probability': 0.5712, 'type': 'Organization', 'normalized_text': 'Madison'}]}",RT @WISCTV_News3: NEWS 3 NOW INVESTIGATES: A former University of Wisconsin-Madison student accused of third-degree sexual assault on campu…,1470958394911641601,"[{'type': 'retweeted', 'id': '1470951496804192256'}]",,,,
3,2021-12-15T02:59:00.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",False,1470951496804192256,everyone,SocialNewsDesk,16699451,en,"{'annotations': [{'start': 34, 'end': 56, 'probability': 0.8525, 'type': 'Organization', 'normalized_text': 'University of Wisconsin'}, {'start': 58, 'end': 64, 'probability': 0.7487, 'type': 'Organization', 'normalized_text': 'Madison'}, {'start': 202, 'end': 210, 'probability': 0.9896, 'type': 'Place', 'normalized_text': 'Wisconsin'}], 'urls': [{'start': 248, 'end': 271, 'url': 'https://t.co/Oma0q9PURX', 'expanded_url': 'https://www.channel3000.com/facing-eviction-and-accused-in-string-of-sexual-incidents-suspended-uw-student-also-wanted-in-rhode-island/', 'display_url': 'channel3000.com/facing-evictio…', 'status': 200, 'title': 'Facing eviction and accused in string of sexual incidents, suspended UW student also wanted in Rhode Island', 'description': 'A former University of Wisconsin-Madison student accused of third-degree sexual assault on campus last week has a harassment history dating back not just the last few months in Wisconsin, but also stretching into last year in Rhode Island.', 'unwound_url': 'https://www.channel3000.com/facing-eviction-and-accused-in-string-of-sexual-incidents-suspended-uw-student-also-wanted-in-rhode-island/'}]}","NEWS 3 NOW INVESTIGATES: A former University of Wisconsin-Madison student accused of third-degree sexual assault on campus last week has a harassment history dating back not just the last few months in Wisconsin, but also stretching into last year https://t.co/Oma0q9PURX",1470951496804192256,,,,,
4,2021-12-09T19:38:16.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1469028642336518151,everyone,Twitter for iPhone,313676704,en,"{'mentions': [{'start': 3, 'end': 16, 'username': 'WISCTV_News3', 'id': '16699451'}], 'annotations': [{'start': 95, 'end': 104, 'probability': 0.7939, 'type': 'Organization', 'normalized_text': 'UW-Madison'}]}",RT @WISCTV_News3: UPDATE: Court records show the man arrested for an alleged sexual assault on UW-Madison's campus this week has been charg…,1469028642336518151,"[{'type': 'retweeted', 'id': '1469026586536128533'}]",,,,
5,2021-12-09T19:30:06.000Z,"{'retweet_count': 2, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",False,1469026586536128533,everyone,SocialNewsDesk,16699451,en,"{'annotations': [{'start': 77, 'end': 86, 'probability': 0.7716, 'type': 'Organization', 'normalized_text': 'UW-Madison'}], 'urls': [{'start': 184, 'end': 207, 'url': 'https://t.co/ikxKvIjeYV', 'expanded_url': 'https://bit.ly/3oCELqD', 'display_url': 'bit.ly/3oCELqD'}]}",UPDATE: Court records show the man arrested for an alleged sexual assault on UW-Madison's campus this week has been charged multiple times for sexual offenses in the last four months. https://t.co/ikxKvIjeYV,1469026586536128533,,,,,
6,2021-12-09T19:09:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1469021512711692296,everyone,Twitter for Android,6204542,en,"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/G4exE1Ptxr', 'expanded_url': 'https://www.channel3000.com/madison-man-arrested-for-alleged-sexual-assault-on-uw-madison-campus/', 'display_url': 'channel3000.com/madison-man-ar…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1468978722896236553/bfIq_zQj?format=jpg&name=orig', 'width': 1024, 'height': 576}, {'url': 'https://pbs.twimg.com/news_img/1468978722896236553/bfIq_zQj?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Madison man arrested for alleged sexual assault on UW-Madison campus', 'description': 'Campus police say they arrested a Madison man earlier this week after an alleged sexual assault on the UW-Madison campus.', 'unwound_url': 'https://www.channel3000.com/madison-man-arrested-for-alleged-sexual-assault-on-uw-madison-campus/'}]}","https://t.co/G4exE1Ptxr

( Sent from Channel 3000 )",1469021512711692296,,,,,
7,2021-12-09T16:25:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1468980023990312965,everyone,SocialNewsDesk,15752446,en,"{'annotations': [{'start': 2, 'end': 8, 'probability': 0.4263, 'type': 'Place', 'normalized_text': 'Madison'}, {'start': 66, 'end': 78, 'probability': 0.7447, 'type': 'Place', 'normalized_text': 'Eagle Heights'}], 'urls': [{'start': 130, 'end': 153, 'url': 'https://t.co/3VCPpWMwpb', 'expanded_url': 'https://madison.com/wsj/news/local/crime-and-courts/madison-man-arrested-for-sexual-assault-at-eagle-heights-apartment-uw-madison-police-say/article_8983ed78-fa6c-5724-ad44-7e8bb442bfd6.html?utm_campaign=snd-autopilot&utm_medium=social&utm_source=twitter_WiStateJournal', 'display_url': 'madison.com/wsj/news/local…'}]}","A Madison man was arrested for sexually assaulting a person at an Eagle Heights apartment on Tuesday, UW-Madison police reported. https://t.co/3VCPpWMwpb",1468980023990312965,,,,,
8,2021-12-09T16:20:46.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1468978942543642634,everyone,Twitter for iPhone,313676704,en,"{'mentions': [{'start': 3, 'end': 16, 'username': 'WISCTV_News3', 'id': '16699451'}], 'annotations': [{'start': 73, 'end': 79, 'probability': 0.5702, 'type': 'Place', 'normalized_text': 'Madison'}]}",RT @WISCTV_News3: JUST IN: Campus police say they arrested a 34-year-old Madison man earlier this week after an alleged sexual assault on t…,1468978942543642634,"[{'type': 'retweeted', 'id': '1468978720488796160'}]",,,,
9,2021-12-09T16:20:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1468978769536995333,everyone,SocialNewsDesk,23828118,en,"{'annotations': [{'start': 2, 'end': 8, 'probability': 0.4263, 'type': 'Place', 'normalized_text': 'Madison'}, {'start': 66, 'end': 78, 'probability': 0.7447, 'type': 'Place', 'normalized_text': 'Eagle Heights'}], 'urls': [{'start': 130, 'end': 153, 'url': 'https://t.co/qXgGOhH3MC', 'expanded_url': 'https://madison.com/wsj/news/local/crime-and-courts/madison-man-arrested-for-sexual-assault-at-eagle-heights-apartment-uw-madison-police-say/article_8983ed78-fa6c-5724-ad44-7e8bb442bfd6.html?utm_campaign=snd-autopilot&utm_medium=social&utm_source=twitter_madisondotcom', 'display_url': 'madison.com/wsj/news/local…'}]}","A Madison man was arrested for sexually assaulting a person at an Eagle Heights apartment on Tuesday, UW-Madison police reported. https://t.co/qXgGOhH3MC",1468978769536995333,,,,,
