,text,geo,id,public_metrics,author_id,conversation_id,lang,possibly_sensitive,source,created_at,reply_settings,entities,attachments,context_annotations,referenced_tweets,in_reply_to_user_id
0,"Im not gonna lie, observing kink/bdsm play put into perspective that some of the experiences i had were wrong and were probably sexual assault. 

The emphasis on consent is EVERYWHERE and enforced.",{'place_id': 'bf9b9d49defeea89'},1456599619920662528,"{'retweet_count': 1, 'reply_count': 4, 'like_count': 4, 'quote_count': 1}",91183410,1456599619920662528,en,False,Twitter for iPhone,2021-11-05T12:29:46.000Z,everyone,,,,,
1,Pictures from SGA's Reclaim the Red sexual assault prevention rally. I gave a speech. https://t.co/OQAAYz350X,{'place_id': 'e4c17912c815124d'},1447561770638454785,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1175148097015562240,1447561770638454785,en,False,Twitter for Android,2021-10-11T13:56:35.000Z,everyone,"{'annotations': [{'start': 14, 'end': 16, 'probability': 0.4759, 'type': 'Organization', 'normalized_text': 'SGA'}], 'urls': [{'start': 86, 'end': 109, 'url': 'https://t.co/OQAAYz350X', 'expanded_url': 'https://twitter.com/nmarks171/status/1447561770638454785/photo/1', 'display_url': 'pic.twitter.com/OQAAYz350X'}, {'start': 86, 'end': 109, 'url': 'https://t.co/OQAAYz350X', 'expanded_url': 'https://twitter.com/nmarks171/status/1447561770638454785/photo/1', 'display_url': 'pic.twitter.com/OQAAYz350X'}]}","{'media_keys': ['3_1447561760114884613', '3_1447561765903024134']}",,,
2,"absolutely disgusting way to refer to someone who was a sexual assault victim. product aside, you should never refer to anyone victim to heinous sexual offenses as a “slave thang” https://t.co/2icomoC5Tx",{'place_id': 'bf9b9d49defeea89'},1417689379217227776,"{'retweet_count': 24, 'reply_count': 1, 'like_count': 240, 'quote_count': 1}",232023726,1417689379217227776,en,False,Twitter for iPhone,2021-07-21T03:34:22.000Z,everyone,"{'urls': [{'start': 180, 'end': 203, 'url': 'https://t.co/2icomoC5Tx', 'expanded_url': 'https://twitter.com/_heymynameisNAY/status/1417687219419205637', 'display_url': 'twitter.com/_heymynameisNA…'}]}",,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '886958830285750273', 'name': 'R. Kelly', 'description': 'R. Kelly'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '886958830285750273', 'name': 'R. Kelly', 'description': 'R. Kelly'}}]",,
3,"Racists wyts showing their true “colors” per usual, with the recent news of Bill Cosby. I DON’T condone any type of sexual assault but if Bill Cosby was wyt, they wouldn’t be so up and arms about his release. And they wouldn’t be so hell bent on trying to tarnish his existence🤷🏾‍♂️",{'place_id': '3ebbdd99701b0c90'},1410290503980044288,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",282650227,1410290503980044288,en,False,Twitter for iPhone,2021-06-30T17:33:52.000Z,everyone,"{'annotations': [{'start': 76, 'end': 85, 'probability': 0.9852, 'type': 'Person', 'normalized_text': 'Bill Cosby'}, {'start': 138, 'end': 147, 'probability': 0.9953, 'type': 'Person', 'normalized_text': 'Bill Cosby'}]}",,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '875431835731243009', 'name': 'Bill Cosby', 'description': 'Bill Cosby'}}, {'domain': {'id': '58', 'name': 'Entertainment Personality', 'description': 'An entertainment personality in the world, like Anderson Cooper or Miranda Sings'}, 'entity': {'id': '875431835731243009', 'name': 'Bill Cosby', 'description': 'Bill Cosby'}}]",,
4,sexual assault will really be something you completely burrow in your brain and forget happen and then you laugh it off when people mention it or pretend it didn’t exist,{'place_id': 'bf9b9d49defeea89'},1378415822926970891,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",232023726,1378415822926970891,en,False,Twitter for iPhone,2021-04-03T18:35:16.000Z,everyone,,,,,
5,it’ll never be a good consensus on here about sexual assault. y’all still defend your right to listen to r kelly. idk why y’all even try to reason or chat with these people,{'place_id': 'bf9b9d49defeea89'},1374461560710516746,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",232023726,1374461560710516746,en,False,Twitter for iPhone,2021-03-23T20:42:26.000Z,everyone,"{'annotations': [{'start': 107, 'end': 111, 'probability': 0.7053, 'type': 'Person', 'normalized_text': 'kelly'}]}",,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '886958830285750273', 'name': 'R. Kelly', 'description': 'R. Kelly'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '886958830285750273', 'name': 'R. Kelly', 'description': 'R. Kelly'}}]",,
6,@CeeNCrumpets https://t.co/cShicAouJG,{'place_id': 'bf9b9d49defeea89'},1373242805590626304,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 1}",91183410,1373242370758746114,und,False,Twitter for iPhone,2021-03-20T11:59:33.000Z,everyone,"{'urls': [{'start': 14, 'end': 37, 'url': 'https://t.co/cShicAouJG', 'expanded_url': 'https://www.google.com/amp/s/amp.usatoday.com/amp/3305071001', 'display_url': 'google.com/amp/s/amp.usat…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1445075299574718471/1jEAxxXV?format=jpg&name=orig', 'width': 1600, 'height': 800}, {'url': 'https://pbs.twimg.com/news_img/1445075299574718471/1jEAxxXV?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Migos rapper Takeoff accused of sexual assault at June house party in L.A. civil lawsuit', 'description': 'Takeoff, a rapper with the hip-hop group Migos, has been accused of rape at a June party according to a civil lawsuit filed in L.A. Superior Court.', 'unwound_url': 'https://www.usatoday.com/story/entertainment/music/2020/08/05/migos-rapper-takeoff-accused-sexual-assault-l-a-party-june/3305071001/'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'CeeNCrumpets', 'id': '18468942'}]}",,,"[{'type': 'replied_to', 'id': '1373242370758746114'}]",18468942
7,"@EstherUmoh10 Sexual assault 🥲😂, a freaking bad behavior.",{'place_id': 'bf9b9d49defeea89'},1370021552876642305,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",273133913,1370011409506000900,en,False,Twitter for iPad,2021-03-11T14:39:26.000Z,everyone,"{'mentions': [{'start': 0, 'end': 13, 'username': 'EstherUmoh10', 'id': '1139148140555190273'}]}",,,"[{'type': 'replied_to', 'id': '1370011409506000900'}]",1139148140555190273
8,"@BruceCHarryII1 @TJ_Paperstacks It's definitely sexual assault. They consented for the internet to see the video as is. Once you start altering the filter to see her naked body, it's sexual assault",{'place_id': 'bf9b9d49defeea89'},1355969352823173121,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",294171991,1355944699278848001,en,False,Twitter for Android,2021-01-31T20:01:01.000Z,everyone,"{'mentions': [{'start': 0, 'end': 15, 'username': 'BruceCHarryII1', 'id': '883721506584494080'}, {'start': 16, 'end': 31, 'username': 'TJ_Paperstacks', 'id': '44791581'}]}",,,"[{'type': 'replied_to', 'id': '1355959114455777297'}]",883721506584494080
9,"@Jim_Jordan Shouldn't you be ignoring sexual assault somewhere.

Please STFU

Thank you!",{'place_id': '69d9a5e713c9cba5'},1328440302902927361,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",25461236,1328430564362358784,en,False,Twitter for Android,2020-11-16T20:50:24.000Z,everyone,"{'mentions': [{'start': 0, 'end': 11, 'username': 'Jim_Jordan', 'id': '18166778'}]}",,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '989579035599515648', 'name': 'Jim Jordan', 'description': 'US Representative Jim Jordan (OH-04)'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '989579035599515648', 'name': 'Jim Jordan', 'description': 'US Representative Jim Jordan (OH-04)'}}]","[{'type': 'replied_to', 'id': '1328430564362358784'}]",18166778
