,lang,conversation_id,entities,created_at,id,reply_settings,public_metrics,author_id,possibly_sensitive,referenced_tweets,geo,text,source,in_reply_to_user_id,context_annotations,attachments
0,und,1468979685111611398,"{'urls': [{'start': 24, 'end': 47, 'url': 'https://t.co/uBKULJ663e', 'expanded_url': 'http://www.marieclaire.com/amp/politics/a33252517/sexual-misconduct-on-airplanes/&ved=2ahUKEwijofbzk9f0AhXPWc0KHQqxAzIQFnoECCoQAQ&usg=AOvVaw3Ye-VzGip8Elwg5ktkZONY', 'display_url': 'marieclaire.com/amp/politics/a…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1491423795575685121/pkn_v0ox?format=jpg&name=orig', 'width': 1200, 'height': 675}, {'url': 'https://pbs.twimg.com/news_img/1491423795575685121/pkn_v0ox?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Flight and Fight', 'description': 'Flight and Fight: When Will Airlines Start Taking Sexual Assault Seriously?', 'unwound_url': 'https://www.marieclaire.com/politics/a33252517/sexual-misconduct-on-airplanes/'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'sarah_gioia', 'id': '1365375914'}, {'start': 13, 'end': 23, 'username': 'kpottermn', 'id': '128360328'}]}",2021-12-09T16:40:00.000Z,1468983781705101315,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",52761285,False,"[{'type': 'replied_to', 'id': '1468983237125025793'}]",{'place_id': '8e9665cec9370f0f'},@sarah_gioia @kpottermn https://t.co/uBKULJ663e,Twitter for Android,1365375914,,
1,en,1458870263223922691,"{'urls': [{'start': 127, 'end': 150, 'url': 'https://t.co/1rac649rpC', 'expanded_url': 'http://diplopetition.com', 'display_url': 'diplopetition.com'}], 'mentions': [{'start': 16, 'end': 28, 'username': 'edmthotiana', 'id': '2960799918'}]}",2021-11-12T00:22:41.000Z,1458953356966248452,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",1293235349985153024,False,"[{'type': 'replied_to', 'id': '1458870263223922691'}]",{'place_id': '8e9665cec9370f0f'},"@_ActionBrunson @edmthotiana I have a general letter and email addresses of promoters if people want to help deplatform him. 

https://t.co/1rac649rpC",Twitter for iPhone,390124815,,
2,und,1458952958322819075,"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Xkf9aFmS2T', 'expanded_url': 'http://Diplopetition.com', 'display_url': 'Diplopetition.com', 'status': 200, 'title': 'Sign the Petition', 'description': 'Address the Continuing Sexual Misconduct Claims Surrounding Diplo', 'unwound_url': 'https://www.change.org/p/crocs-address-the-sexual-misconduct-claims-surrounding-diplo?utm_source=share_petition&utm_medium=custom_url&recruited_by_id=7e254230-e6a7-11eb-850f-3fff0675384f'}, {'start': 24, 'end': 47, 'url': 'https://t.co/GlClWjdyOO', 'expanded_url': 'https://twitter.com/_KingEarth/status/1458870263223922691', 'display_url': 'twitter.com/_KingEarth/sta…'}]}",2021-11-12T00:21:05.000Z,1458952958322819075,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1293235349985153024,False,"[{'type': 'quoted', 'id': '1458870263223922691'}]",{'place_id': '8e9665cec9370f0f'},https://t.co/Xkf9aFmS2T https://t.co/GlClWjdyOO,Twitter for iPhone,,"[{'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '849674653945569284', 'name': 'EDM', 'description': 'Dance'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '849684313704611840', 'name': 'Electronic music', 'description': 'Electronic'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '886958830285750273', 'name': 'R. Kelly', 'description': 'R. Kelly'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '886958830285750273', 'name': 'R. Kelly', 'description': 'R. Kelly'}}]",
3,en,1454138031267536903,"{'urls': [{'start': 273, 'end': 296, 'url': 'https://t.co/q80p0iVuAP', 'expanded_url': 'https://twitter.com/PR_NHL/status/1454113183074066435', 'display_url': 'twitter.com/PR_NHL/status/…'}]}",2021-10-29T17:28:17.000Z,1454138031267536903,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1444019882874609665,False,"[{'type': 'quoted', 'id': '1454113183074066435'}]",{'place_id': '60e2c37980197297'},"disappointing — and I’m not saying this system works, but universities have a system where employees have an obligation to report sexual misconduct where failure to report is a fireable offense — I believe that we should hold a senior leader to this standard, bare minimum https://t.co/q80p0iVuAP",Twitter for iPhone,,"[{'domain': {'id': '6', 'name': 'Sports Event'}, 'entity': {'id': '1448085780233011200', 'name': 'Jets at Kings'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '829003678765821984', 'name': 'Hockey'}}, {'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '829003687947177984', 'name': 'Winnipeg Jets'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '829003697749258240', 'name': 'NHL', 'description': 'Photo via @GettyImages'}}, {'domain': {'id': '68', 'name': 'Hockey Game', 'description': 'Sports Event specific to Hockey games'}, 'entity': {'id': '1448085780233011200', 'name': 'Jets at Kings'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597491040257', 'name': 'Sports'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10042758268', 'name': 'NHL'}}]",
4,und,1448314888858652673,"{'urls': [{'start': 62, 'end': 85, 'url': 'https://t.co/Xkf9aFmS2T', 'expanded_url': 'http://Diplopetition.com', 'display_url': 'Diplopetition.com'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'YeaTheFoodChain', 'id': '1292702573384761345'}, {'start': 17, 'end': 32, 'username': 'GoldrushFestAZ', 'id': '770936898172751872'}, {'start': 33, 'end': 44, 'username': 'dusktucson', 'id': '756309093472669696'}, {'start': 45, 'end': 61, 'username': 'RelentlessBeats', 'id': '47253228'}]}",2021-10-19T02:31:04.000Z,1450288360279453697,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1293235349985153024,False,"[{'type': 'replied_to', 'id': '1448401002558676992'}]",{'place_id': '8e9665cec9370f0f'},@YeaTheFoodChain @GoldrushFestAZ @dusktucson @RelentlessBeats https://t.co/Xkf9aFmS2T,Twitter for iPhone,1292702573384761345,,
5,und,1447665932994637826,"{'urls': [{'start': 9, 'end': 32, 'url': 'https://t.co/Xkf9aFmS2T', 'expanded_url': 'http://Diplopetition.com', 'display_url': 'Diplopetition.com'}], 'mentions': [{'start': 0, 'end': 8, 'username': 'adriowl', 'id': '45069320'}]}",2021-10-19T00:49:50.000Z,1450262884882305029,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1293235349985153024,False,"[{'type': 'replied_to', 'id': '1447665932994637826'}]",{'place_id': '8e9665cec9370f0f'},@adriowl https://t.co/Xkf9aFmS2T,Twitter for iPhone,45069320,,
6,en,1449083845668651016,"{'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/z1qixxN9wE', 'expanded_url': 'http://Diplopetition.com', 'display_url': 'Diplopetition.com'}, {'start': 69, 'end': 92, 'url': 'https://t.co/aIIh07XExL', 'expanded_url': 'https://twitter.com/perf_harmony_/status/1449083845668651016/photo/1', 'display_url': 'pic.twitter.com/aIIh07XExL'}]}",2021-10-15T18:44:46.000Z,1449083845668651016,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",908030267092238336,False,,{'place_id': '8e9665cec9370f0f'},Haven’t signed? Sign! Already signed? Share! https://t.co/z1qixxN9wE https://t.co/aIIh07XExL,Twitter for iPhone,,,{'media_keys': ['3_1449083841176555520']}
7,en,1449082897395339268,"{'urls': [{'start': 35, 'end': 58, 'url': 'https://t.co/Xkf9aFmS2T', 'expanded_url': 'http://Diplopetition.com', 'display_url': 'Diplopetition.com'}, {'start': 59, 'end': 82, 'url': 'https://t.co/E1UeHeA2Lq', 'expanded_url': 'https://twitter.com/doobsteprincess/status/1449082897395339268/photo/1', 'display_url': 'pic.twitter.com/E1UeHeA2Lq'}]}",2021-10-15T18:41:00.000Z,1449082897395339268,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1293235349985153024,False,,{'place_id': '8e9665cec9370f0f'},"We’re ALMOST to 400. Please help! 
https://t.co/Xkf9aFmS2T https://t.co/E1UeHeA2Lq",Twitter for iPhone,,,{'media_keys': ['3_1449082893356179460']}
8,und,1447382848978055178,"{'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/1rac649rpC', 'expanded_url': 'http://diplopetition.com', 'display_url': 'diplopetition.com'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'ThatsSoShellyy', 'id': '1269751629315702789'}]}",2021-10-11T15:54:41.000Z,1447591493460447235,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1293235349985153024,False,"[{'type': 'replied_to', 'id': '1447382848978055178'}]",{'place_id': '8e9665cec9370f0f'},@ThatsSoShellyy https://t.co/1rac649rpC,Twitter for iPhone,1269751629315702789,,
9,en,1447591144800522240,"{'urls': [{'start': 30, 'end': 53, 'url': 'https://t.co/1rac649rpC', 'expanded_url': 'http://diplopetition.com', 'display_url': 'diplopetition.com'}]}",2021-10-11T15:53:18.000Z,1447591144800522240,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1293235349985153024,False,,{'place_id': '8e9665cec9370f0f'},"Help us get 500 signatures. 

https://t.co/1rac649rpC",Twitter for iPhone,,,
