,possibly_sensitive,conversation_id,source,entities,created_at,author_id,geo,reply_settings,context_annotations,referenced_tweets,lang,id,text,public_metrics,in_reply_to_user_id,attachments
0,False,1462469845560152064,Twitter for iPhone,"{'urls': [{'start': 183, 'end': 206, 'url': 'https://t.co/ug5uYjgnld', 'expanded_url': 'https://twitter.com/Reuters/status/1462251962938888194', 'display_url': 'twitter.com/Reuters/status…'}], 'hashtags': [{'start': 18, 'end': 28, 'tag': 'PengShuai'}]}",2021-11-21T17:15:57.000Z,1325834536660344833,{'place_id': '490bdb082950484f'},everyone,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1461480524757626886', 'name': 'Peng Shuai'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '1461480524757626886', 'name': 'Peng Shuai'}}]","[{'type': 'quoted', 'id': '1462251962938888194'}]",en,1462469845560152064,I am praying that #PengShuai is safe and well. It takes a lot of courage to speak out about sexual assault in a repressive nation. Glad to see that she is at least alive and healthy. https://t.co/ug5uYjgnld,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",,
1,False,1454858163262398464,Twitter for iPhone,"{'annotations': [{'start': 57, 'end': 59, 'probability': 0.8168, 'type': 'Organization', 'normalized_text': 'USC'}], 'urls': [{'start': 284, 'end': 307, 'url': 'https://t.co/pjwZxJAWgI', 'expanded_url': 'https://twitter.com/TeresaWatanabe/status/1454853343545683975', 'display_url': 'twitter.com/TeresaWatanabe…'}]}",2021-10-31T17:09:50.000Z,437660561,{'place_id': 'a409256339a7c6a1'},everyone,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '834828264786898945', 'name': 'Drinks', 'description': 'Drinks'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1006278636842782720', 'name': 'Drink Experience', 'description': 'Drink Experience'}}]","[{'type': 'quoted', 'id': '1454853343545683975'}]",en,1454858163262398464,I have many perspectives on this. I joined a sorority at USC when I was 18. I “deactivated” a year later because it’s just repulsive. My best friends all 4 years were guys in frats so “I get it.” But sexual assault was openly talked about/rampant &amp; there were never consequences. https://t.co/pjwZxJAWgI,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,
2,False,1442883477318348802,Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 13, 'username': 'chizrocker88', 'id': '240488003'}]}",2021-09-28T16:11:08.000Z,242678261,{'place_id': 'a409256339a7c6a1'},everyone,,"[{'type': 'replied_to', 'id': '1442883477318348802'}]",en,1442884588448063489,@chizrocker88 Men will investigate anything except sexual assault allegations,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",240488003,
3,False,1423607041545879560,Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 16, 'username': 'GenderDissident', 'id': '1354933311244795911'}]}",2021-08-09T04:11:54.000Z,802622679287205888,{'place_id': '3ad0f706b3fa62a8'},everyone,,"[{'type': 'replied_to', 'id': '1423607041545879560'}]",en,1424584196656295939,@GenderDissident Research shows that trans inclusive bathroom policies lower rates of sexual assault against trans people and do not result in an increased rate against cis people: Murchison et al 2019 &amp; Hasenbush et al 2018,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 1}",1354933311244795911,
4,False,1388620472837820418,Twitter for iPhone,"{'urls': [{'start': 203, 'end': 226, 'url': 'https://t.co/o8efnCwXYc', 'expanded_url': 'https://twitter.com/lavern_spicer/status/1388583057846845446', 'display_url': 'twitter.com/lavern_spicer/…'}], 'mentions': [{'start': 116, 'end': 130, 'username': 'lavern_spicer', 'id': '1187835922118787073'}]}",2021-05-01T22:24:54.000Z,802622679287205888,{'place_id': '3ad0f706b3fa62a8'},everyone,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1047123725525479425', 'name': 'Information security', 'description': 'Information Security'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}]","[{'type': 'quoted', 'id': '1388583057846845446'}]",en,1388620472837820418,"Research has shown that trans-inclusive bathroom policies *lower* sexual assault rates.

Don’t vote for people like @lavern_spicer who ignore data. 

We need evidence-based not fear-based public policy. https://t.co/o8efnCwXYc","{'retweet_count': 49, 'reply_count': 12, 'like_count': 258, 'quote_count': 2}",,
5,False,1387430951135768592,Twitter for iPhone,"{'mentions': [{'start': 47, 'end': 60, 'username': 'LevaniDamuni', 'id': '417493648'}], 'annotations': [{'start': 20, 'end': 26, 'probability': 0.9959, 'type': 'Place', 'normalized_text': 'America'}], 'urls': [{'start': 213, 'end': 236, 'url': 'https://t.co/ASERuhMNVe', 'expanded_url': 'https://twitter.com/StanfordFball/status/1387429286689185795', 'display_url': 'twitter.com/StanfordFball/…'}], 'hashtags': [{'start': 202, 'end': 211, 'tag': 'DenimDay'}]}",2021-04-28T15:38:10.000Z,923944849,{'place_id': 'e5a3f5dd123f24b5'},everyone,,"[{'type': 'quoted', 'id': '1387429286689185795'}]",en,1387430951135768592,"Best locker room in America.

Huge shoutout to @LevaniDamuni and the rest of the ILBs for taking such initiative in wanting to raise awareness &amp; stand in solidarity with sexual assault victims this #DenimDay. https://t.co/ASERuhMNVe","{'retweet_count': 1, 'reply_count': 0, 'like_count': 25, 'quote_count': 0}",,
6,False,1359937778012676097,Twitter for iPhone,"{'mentions': [{'start': 94, 'end': 105, 'username': 'CNTraveler', 'id': '17219108'}], 'annotations': [{'start': 0, 'end': 3, 'probability': 0.5886, 'type': 'Place', 'normalized_text': 'U.S.'}], 'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/YLzFxkIngD', 'expanded_url': 'https://www.cntraveler.com/story/us-airlines-are-changing-the-way-they-talk-about-sexual-assault?utm_source=twitter&utm_medium=social&utm_campaign=onsite-share&utm_brand=conde-nast-traveler&utm_social-type=earned', 'display_url': 'cntraveler.com/story/us-airli…'}]}",2021-02-11T18:50:07.000Z,206525910,{'place_id': 'a409256339a7c6a1'},everyone,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '839159814991167489', 'name': 'Travel', 'description': 'Travel'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '842061030951809024', 'name': 'Travel novelty', 'description': 'Travel novelty'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '842066429474033665', 'name': 'Travel Blogs', 'description': 'This entity includes Tweets @ and from ~175 travel blog handles.'}}]",,en,1359937778012676097,U.S. Airlines Are Changing the Way They Talk About Sexual Assault https://t.co/YLzFxkIngD via @CNTraveler,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,
7,False,1340131843920695296,Twitter for iPhone,"{'urls': [{'start': 270, 'end': 293, 'url': 'https://t.co/3OoCR8L9VG', 'expanded_url': 'https://twitter.com/pidilidi/status/1340131843920695296/photo/1', 'display_url': 'pic.twitter.com/3OoCR8L9VG'}]}",2020-12-19T03:08:24.000Z,353761533,{'place_id': 'ed0a823456907b4c'},everyone,,,en,1340131843920695296,"I have been present in several group conversations now in which women suggest that the criminal justice system and society in general puts an unfair burden on men to avoid sexual assault against women and every time, I just feel the strength leave my body. Phew! TAYAD. https://t.co/3OoCR8L9VG","{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",,{'media_keys': ['16_1340131834298961920']}
8,False,1325256959512080384,Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 15, 'username': 'NoLongerHere59', 'id': '469801954'}, {'start': 16, 'end': 21, 'username': 'KTVU', 'id': '15652540'}]}",2020-11-08T16:17:33.000Z,609323818,{'place_id': '3ad0f706b3fa62a8'},everyone,,"[{'type': 'replied_to', 'id': '1325261737352785922'}]",en,1325472535257837568,@NoLongerHere59 @KTVU Your president had to pay hush money to a porn star and has more sexual assault allegations than days left in office ...,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",469801954,
9,False,1323807949656084482,Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 15, 'username': 'lindsaygholmes', 'id': '30715607'}]}",2020-11-04T05:51:11.000Z,2838687480,{'place_id': '07d9e39a89485004'},everyone,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]","[{'type': 'replied_to', 'id': '1323807949656084482'}]",en,1323865354544664576,"@lindsaygholmes Thank you! We’ve been team meeting for weeks planning extra election week support for our most vulnerable student clients( BIPOC, International, LGBTQ, Muslim, Disabled, sexual assault survivors, undocumented). Tough souls dealing w this atop pandemic &amp; end of quarter academics","{'retweet_count': 0, 'reply_count': 1, 'like_count': 7, 'quote_count': 0}",30715607,
