,Unnamed: 0,public_metrics,source,entities,text,conversation_id,author_id,geo,lang,created_at,in_reply_to_user_id,id,referenced_tweets,reply_settings,possibly_sensitive,attachments,context_annotations,location,likes,retweets,replies,quotes
0,0,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 14, 'username': 'ArnoldMokoena', 'id': '199321471'}, {'start': 15, 'end': 27, 'username': 'iTweetFacts', 'id': '3198495413'}], 'hashtags': [{'start': 66, 'end': 70, 'tag': 'smh'}]}",@ArnoldMokoena @itweetfacts rape isnt legal ! People still do it! #smh,151654669008125952,33593320,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.54497256, 39.16173853]}}",en,12/27/2011,199321471.0,151762190519640065,"[{'type': 'replied_to', 'id': '151654669008125952'}]",everyone,False,,,IUB,0,0,0,0
1,1,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'mentions': [{'start': 49, 'end': 62, 'username': 'JohnnyKeller', 'id': '500473264'}]}",You know what my favorite sex position is? Rape. @JohnnyKeller,143193600950403072,251760851,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.52874937, 39.17050746]}}",en,12/04/2011,,143193600950403072,,everyone,False,,,IUB,0,0,0,0
2,2,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,,Your so ambitious you ready to rape a nigga...,138460105753640960,177742305,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.47721232, 39.16243237]}}",en,11/21/2011,,138460105753640960,,everyone,False,,,IUB,0,0,0,0
3,3,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,,I don't rape @Sarebearr13 ... It's consensual,130092322678517760,322368627,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.49710159, 39.16140351]}}",en,10/29/2011,,130092322678517760,,everyone,False,,,IUB,0,0,0,0
4,4,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 11, 'username': 'KunyIsland', 'id': '61452820'}]}",@KunyIsland haha she's literally going to rape you! You know that right?! 😖,129070117014347776,48523875,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.53487806, 39.17222026]}}",en,10/26/2011,61452820.0,129072155584499712,"[{'type': 'replied_to', 'id': '129070117014347776'}]",everyone,False,,,IUB,0,0,1,0
5,5,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,,@KissMyC00kie rape..,122404181838544896,177742305,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.5233736, 39.16852909]}}",en,10/07/2011,94502844.0,122404731145568256,"[{'type': 'replied_to', 'id': '122404181838544896'}]",everyone,False,,,IUB,0,0,0,0
6,6,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,,"Finite is like an hour long mind fuck that I didn't want. It's mind rape. Is that a felony? Can I press charges, if so against who?",121279901075636225,57599695,"{'place_id': '1010ecfa7d3a40f8', 'coordinates': {'type': 'Point', 'coordinates': [-86.58934944, 39.14905565]}}",en,10/04/2011,,121279901075636225,,everyone,False,,,IUB,0,0,0,0
7,7,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Windows Phone,,Just witnessed an attempted bro rape. Sad thing is that it will probably go unreported.,114012267296727041,273773929,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.52724457, 39.16804504]}}",en,09/14/2011,,114012267296727041,,everyone,False,,,IUB,0,0,0,0
8,8,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for BlackBerry®,"{'annotations': [{'start': 0, 'end': 1, 'probability': 0.9192, 'type': 'Organization', 'normalized_text': 'IU'}, {'start': 23, 'end': 32, 'probability': 0.6871, 'type': 'Organization', 'normalized_text': 'Ball State'}, {'start': 44, 'end': 54, 'probability': 0.9602, 'type': 'Person', 'normalized_text': 'Uncle Frank'}]}",IU football might rape Ball State tomorrow. Uncle Frank style.,109643366655991808,179840628,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.52359, 39.17211]}}",en,09/02/2011,,109643366655991808,,everyone,False,,,IUB,0,0,0,0
9,9,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 6, 'username': 'FbgPa', 'id': '4174444359'}]}",@FBGPA lol the wibbens rape room,109251448965050368,174765784,"{'place_id': 'a8b9e6374e5ffbfb', 'coordinates': {'type': 'Point', 'coordinates': [-86.51158459, 39.1647107]}}",en,09/01/2011,72958535.0,109279861125808131,"[{'type': 'replied_to', 'id': '109251448965050368'}]",everyone,False,,,IUB,0,0,0,0
10,10,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Echofon,,"""it's not rape if you yell surprise!""",97490943711784960,18236259,"{'coordinates': {'type': 'Point', 'coordinates': [-86.52905, 39.16737]}, 'place_id': 'a8b9e6374e5ffbfb'}",en,07/31/2011,,97490943711784960,,everyone,False,,,IUB,0,0,0,0
11,11,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,,Hmmm my fiends aren't coming in their normal rape and pillage numbers. Something must be off about today,92933517914284032,18943565,"{'coordinates': {'type': 'Point', 'coordinates': [-86.52135515, 39.16505293]}, 'place_id': 'a8b9e6374e5ffbfb'}",en,07/18/2011,,92933517914284032,,everyone,False,,,IUB,0,0,0,0
12,12,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'annotations': [{'start': 31, 'end': 35, 'probability': 0.977, 'type': 'Person', 'normalized_text': 'Jason'}], 'hashtags': [{'start': 37, 'end': 47, 'tag': 'TrueBlood'}]}",not enjoying the group rape of Jason #TrueBlood yikes,90587844250312706,18586380,"{'coordinates': {'type': 'Point', 'coordinates': [-86.53268295, 39.17241489]}, 'place_id': 'a8b9e6374e5ffbfb'}",en,07/12/2011,,90587844250312706,,everyone,False,,,IUB,0,0,0,0
13,13,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,,"It might be just me, but I don't think you should put the word ""Rape"" on your bar crawl shirts even if it is Viking themed. SHIRTY DAY",57895113069830145,17595627,{'place_id': 'a8b9e6374e5ffbfb'},en,04/12/2011,,57895113069830145,,everyone,False,,,IUB,0,1,0,0
14,14,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,,"Today I'm thankful for star rape, tight balls and the various games of life.",38851256328007680,20687648,{'place_id': 'a8b9e6374e5ffbfb'},en,02/19/2011,,38851256328007680,,everyone,False,,,IUB,0,0,0,0
15,15,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,"{'hashtags': [{'start': 42, 'end': 48, 'tag': 'pause'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'Chris_Kimbro', 'id': '151240790'}]}",@Chris_Kimbro im tryna rape you in madden #pause wats good,27486424362123266,48566861,{'place_id': 'a8b9e6374e5ffbfb'},en,01/18/2011,151240790.0,27486424362123266,,everyone,False,,,IUB,0,0,0,0
